Song Name,Artist(s),Album,Duration
El 3bd W El Waili,El Waili,El 3bd W El Waili,3:53
I Know You Want Me (Calle Ocho),Pitbull,Pitbull Starring In Rebelution,3:57
Chicago,Michael Jackson,XSCAPE,4:05
Bloom Again,Nu Aspect,Bloom Again,3:09
Got 2 Luv U (feat. Alexis Jordan),"Sean Paul, Alexis Jordan",Tomahawk Technique,3:24
The Boy In the Bubble,Paul Simon,Graceland (25th Anniversary Deluxe Edition),3:59
Time of Dying,Three Days Grace,One-X,3:06
Softcore,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,3:26
Omen,"Cartoon, Jéja, Time To Talk, Asena",Omen,2:57
Brandy (You're a Fine Girl),Looking Glass,Looking Glass,3:06
Metamodernity,Vansire,Metamodernity,2:42
Tusa,"KAROL G, Nicki Minaj",KG0516,3:21
Chandelier,Sia,1000 Forms Of Fear,3:36
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","Metro Boomin, A$AP Rocky, Roisee",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),4:16
Shut up My Moms Calling,Hotel Ugly,Shut up My Moms Calling,2:44
Pump It,Black Eyed Peas,Monkey Business,3:33
Blur,Stellar,Blur,2:11
Can't Remember to Forget You (feat. Rihanna),"Shakira, Rihanna",Shakira. (Expanded Edition) [Spanish Version],3:26
I Adore You,"HUGEL, Topic, Arash, Daecolm",I Adore You (Daecolm’s Acoustic Version),3:34
Torn,Ava Max,Heaven & Hell,3:18
Say My Name,"David Guetta, Bebe Rexha, J Balvin",7: Anniversary Edition,3:18
Swim,Chase Atlantic,Chase Atlantic,3:48
Blank,Disfigure,Blank,3:28
Whatever,"Kygo, Ava Max",KYGO,2:58
Siri,Shahyn,Siri,3:33
Strangers,Kenya Grace,The After Taste,2:52
Me Gustas Tu,Manu Chao,Próxima Estación: Esperanza,3:59
God's Plan,Drake,Scorpion,3:18
Cruel Summer,Taylor Swift,Lover,2:58
Paro,Nej,SOS (Chapitre 1),3:24
Tattoo,Loreen,Tattoo,3:03
Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",Paradise Again,3:54
